uri:/instrument/1.0/MO/chartdata;type=quote;range=1d/csv
ticker:mo
Company-Name:Altria Group, Inc.
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:66.7400
Timestamp:1471008600,1471032000
labels:1471010400,1471014000,1471017600,1471021200,1471024800,1471028400,1471032000
values:Timestamp,close,high,low,open,volume
close:66.6800,67.0775
high:66.6850,67.0900
low:66.6750,67.0500
open:66.6800,67.0700
volume:100,517800
1471008618,66.9900,66.9900,66.9900,66.9900,73200
1471008705,67.0775,67.0900,67.0500,67.0500,8800
1471008722,67.0000,67.0700,66.9650,67.0700,9500
1471008812,67.0200,67.0800,67.0001,67.0300,5400
1471008844,67.0416,67.0416,67.0000,67.0000,2700
1471008912,67.0000,67.0100,66.9700,66.9799,7600
1471009018,66.9850,67.0200,66.9700,66.9800,8600
1471009073,66.9500,67.0200,66.9350,66.9900,10300
1471009135,66.8630,66.9600,66.8630,66.9450,7600
1471009146,66.8700,66.8800,66.8450,66.8500,8700
1471009211,66.8800,66.8800,66.8300,66.8500,10400
1471009317,66.8950,66.9331,66.8900,66.9000,7700
1471009324,66.9300,66.9700,66.8900,66.8900,8700
1471009438,66.8900,66.9300,66.8800,66.9300,8800
1471009440,66.8700,66.9300,66.8600,66.9000,8500
1471009500,66.9100,66.9100,66.8700,66.8700,10800
1471009619,66.9726,66.9726,66.9200,66.9200,9000
1471009678,66.9900,67.0000,66.9700,66.9750,6800
1471009685,66.9800,67.0000,66.9800,66.9900,6500
1471009751,66.9900,67.0100,66.9700,66.9950,9400
1471009859,66.9300,66.9739,66.9300,66.9700,5700
1471009860,66.9400,66.9500,66.8950,66.9300,9700
1471009929,66.9050,66.9200,66.8900,66.9100,10200
1471009981,66.9100,66.9200,66.8920,66.9000,4900
1471010098,66.9500,66.9500,66.9100,66.9100,3900
1471010156,66.9300,66.9600,66.9300,66.9450,9700
1471010218,66.9900,66.9900,66.9250,66.9300,4100
1471010222,66.9600,67.0000,66.9600,66.9850,13400
1471010281,66.9800,66.9900,66.9400,66.9550,4500
1471010343,67.0200,67.0300,66.9764,66.9900,19400
1471010415,66.9672,67.0100,66.9600,66.9950,8700
1471010464,66.9600,66.9800,66.9500,66.9600,9200
1471010576,66.9928,67.0050,66.9650,66.9650,5200
1471010581,66.9800,66.9900,66.9700,66.9900,4800
1471010644,66.9600,66.9900,66.9500,66.9900,5400
1471010714,66.9900,66.9950,66.9600,66.9600,9700
1471010818,67.0050,67.0100,66.9700,66.9800,7100
1471010821,67.0000,67.0400,66.9900,66.9900,12300
1471010938,67.0200,67.0200,66.9950,67.0000,4400
1471010992,66.9950,67.0200,66.9946,67.0200,6300
1471011052,67.0050,67.0200,66.9950,67.0000,5400
1471011062,66.9800,67.0100,66.9700,67.0100,9000
1471011120,66.9900,66.9900,66.9600,66.9800,9300
1471011180,67.0000,67.0000,66.9850,66.9900,4700
1471011297,67.0100,67.0100,66.9813,67.0000,9000
1471011301,67.0100,67.0200,67.0034,67.0100,7400
1471011419,67.0150,67.0250,67.0000,67.0150,6100
1471011424,67.0199,67.0250,67.0000,67.0200,7300
1471011484,67.0300,67.0300,67.0100,67.0200,3700
1471011544,67.0128,67.0300,67.0100,67.0250,3500
1471011605,67.0100,67.0200,67.0000,67.0200,7100
1471011663,67.0166,67.0200,67.0150,67.0200,3300
1471011723,67.0300,67.0300,67.0100,67.0200,6000
1471011786,67.0200,67.0300,67.0200,67.0250,3900
1471011840,67.0200,67.0500,67.0200,67.0300,10900
1471011901,67.0200,67.0301,67.0200,67.0300,11900
1471011962,67.0000,67.0256,67.0000,67.0210,7200
1471012077,67.0000,67.0100,66.9900,67.0100,14900
1471012135,66.9950,67.0000,66.9850,67.0000,10200
1471012142,66.9789,67.0000,66.9701,66.9999,12200
1471012258,66.9775,66.9800,66.9600,66.9700,5200
1471012260,66.9800,66.9800,66.9650,66.9700,2500
1471012326,66.9477,66.9798,66.9430,66.9738,12600
1471012438,66.9350,66.9435,66.9350,66.9400,4000
1471012442,66.9466,66.9466,66.9300,66.9400,7300
1471012504,66.9200,66.9437,66.9100,66.9435,7600
1471012568,66.9100,66.9165,66.9000,66.9100,8700
1471012620,66.9350,66.9400,66.9100,66.9150,9000
1471012734,66.9350,66.9350,66.9300,66.9300,4900
1471012793,66.9299,66.9400,66.9200,66.9388,6000
1471012804,66.8900,66.9200,66.8900,66.9200,15000
1471012867,66.8950,66.9000,66.8900,66.9000,2700
1471012928,66.8750,66.8900,66.8750,66.8900,5900
1471013038,66.8750,66.8900,66.8736,66.8750,10800
1471013041,66.9000,66.9000,66.8800,66.8900,7400
1471013153,66.9000,66.9000,66.8950,66.8950,9300
1471013165,66.9000,66.9000,66.8900,66.8950,5500
1471013228,66.9050,66.9100,66.8850,66.8988,22700
1471013282,66.9300,66.9400,66.9010,66.9066,4600
1471013345,66.9350,66.9400,66.9300,66.9300,3600
1471013453,66.9310,66.9500,66.9310,66.9500,6200
1471013511,66.9300,66.9400,66.9300,66.9400,1300
1471013579,66.9600,66.9600,66.9350,66.9400,10100
1471013632,66.9450,66.9500,66.9350,66.9500,4300
1471013645,66.9800,66.9800,66.9450,66.9450,5700
1471013705,66.9600,66.9800,66.9600,66.9700,6000
1471013761,66.9300,66.9650,66.9300,66.9600,6400
1471013821,66.9034,66.9250,66.9034,66.9201,11400
1471013888,66.8900,66.9100,66.8900,66.9100,7500
1471013943,66.8900,66.9000,66.8850,66.8850,3800
1471014051,66.8875,66.9000,66.8875,66.9000,4900
1471014115,66.9000,66.9000,66.8810,66.8900,3200
1471014121,66.8950,66.9050,66.8950,66.8950,6400
1471014182,66.8900,66.9100,66.8850,66.9000,17900
1471014251,66.8950,66.9000,66.8901,66.8901,600
1471014346,66.8975,66.9000,66.8900,66.8950,2800
1471014413,66.9000,66.9050,66.8900,66.9000,6000
1471014456,66.9000,66.9100,66.8900,66.9000,7100
1471014481,66.9000,66.9100,66.9000,66.9050,5200
1471014540,66.8800,66.9100,66.8800,66.9100,11100
1471014658,66.8900,66.8900,66.8800,66.8900,1800
1471014660,66.8850,66.9000,66.8800,66.8875,7000
1471014726,66.8850,66.8900,66.8750,66.8834,7300
1471014839,66.8875,66.9000,66.8850,66.8900,6600
1471014846,66.8899,66.8900,66.8800,66.8800,2400
1471014952,66.8900,66.9000,66.8800,66.8900,6300
1471014963,66.9100,66.9100,66.9028,66.9100,14200
1471015020,66.9100,66.9100,66.9046,66.9100,8000
1471015084,66.8753,66.9100,66.8753,66.9050,6500
1471015148,66.8800,66.8900,66.8750,66.8750,5200
1471015202,66.8800,66.8800,66.8700,66.8735,3300
1471015265,66.8500,66.8775,66.8500,66.8775,9600
1471015320,66.8490,66.8550,66.8350,66.8500,15200
1471015435,66.8400,66.8500,66.8328,66.8400,4400
1471015449,66.8275,66.8466,66.8200,66.8365,5500
1471015512,66.8500,66.8500,66.8200,66.8300,5000
1471015569,66.8300,66.8300,66.8200,66.8300,3500
1471015679,66.8450,66.8500,66.8300,66.8323,10000
1471015680,66.8400,66.8500,66.8300,66.8450,8500
1471015799,66.8301,66.8350,66.8300,66.8300,800
1471015800,66.8300,66.8400,66.8300,66.8350,3300
1471015862,66.8400,66.8400,66.8300,66.8300,6200
1471015920,66.8400,66.8500,66.8300,66.8350,7900
1471015986,66.8400,66.8500,66.8400,66.8500,1400
1471016051,66.8350,66.8500,66.8350,66.8400,1800
1471016110,66.8400,66.8400,66.8300,66.8300,2900
1471016163,66.8450,66.8500,66.8400,66.8400,1600
1471016223,66.8400,66.8450,66.8300,66.8400,5700
1471016339,66.8446,66.8450,66.8350,66.8450,5900
1471016342,66.8350,66.8500,66.8300,66.8400,3200
1471016410,66.8539,66.8600,66.8200,66.8300,14200
1471016512,66.8500,66.8550,66.8400,66.8500,4400
1471016521,66.8400,66.8550,66.8300,66.8450,6500
1471016584,66.8375,66.8400,66.8350,66.8400,5100
1471016641,66.8450,66.8600,66.8375,66.8400,7400
1471016758,66.8500,66.8600,66.8400,66.8450,20500
1471016818,66.8500,66.8600,66.8450,66.8500,7200
1471016822,66.8700,66.8700,66.8500,66.8500,9200
1471016880,66.8550,66.8700,66.8550,66.8650,6000
1471016951,66.8600,66.8600,66.8500,66.8600,1500
1471017009,66.8550,66.8600,66.8500,66.8500,3100
1471017061,66.8550,66.8700,66.8550,66.8600,8800
1471017139,66.8560,66.8600,66.8500,66.8550,1300
1471017180,66.8200,66.8500,66.8200,66.8500,7000
1471017299,66.8400,66.8500,66.8200,66.8236,7400
1471017356,66.8300,66.8500,66.8200,66.8500,3300
1471017363,66.8200,66.8300,66.8150,66.8300,3800
1471017474,66.8400,66.8400,66.8200,66.8200,1000
1471017483,66.8490,66.8550,66.8350,66.8400,6500
1471017552,66.8500,66.8561,66.8401,66.8436,2800
1471017606,66.8500,66.8600,66.8500,66.8500,1000
1471017664,66.8450,66.8500,66.8400,66.8500,4500
1471017722,66.8650,66.8650,66.8400,66.8450,8200
1471017782,66.8550,66.8654,66.8500,66.8650,3700
1471017846,66.8400,66.8600,66.8400,66.8501,4700
1471017904,66.8100,66.8400,66.8100,66.8350,8100
1471018017,66.7700,66.8100,66.7700,66.8100,10600
1471018063,66.8300,66.8300,66.7700,66.7800,12600
1471018087,66.8300,66.8300,66.8200,66.8300,3300
1471018199,66.8200,66.8250,66.8075,66.8235,6900
1471018200,66.8200,66.8300,66.8175,66.8300,2900
1471018260,66.8250,66.8300,66.8200,66.8200,3200
1471018327,66.8161,66.8300,66.8100,66.8299,5200
1471018383,66.8000,66.8150,66.8000,66.8150,2900
1471018495,66.8075,66.8100,66.7900,66.8000,7700
1471018502,66.8000,66.8100,66.8000,66.8062,2200
1471018563,66.7900,66.8000,66.7900,66.8000,6100
1471018679,66.7700,66.7900,66.7700,66.7900,2500
1471018738,66.8195,66.8200,66.7700,66.7700,11900
1471018752,66.8136,66.8200,66.8100,66.8164,3200
1471018806,66.8139,66.8160,66.8050,66.8100,4600
1471018861,66.8300,66.8300,66.8100,66.8150,5400
1471018928,66.8500,66.8500,66.8150,66.8250,6000
1471019033,66.8550,66.8600,66.8400,66.8400,5200
1471019040,66.8500,66.8570,66.8500,66.8500,3600
1471019100,66.8550,66.8600,66.8500,66.8600,1600
1471019160,66.8750,66.8800,66.8500,66.8500,15500
1471019279,66.8550,66.8790,66.8550,66.8700,5500
1471019286,66.8250,66.8700,66.8250,66.8550,13900
1471019341,66.8200,66.8250,66.8100,66.8200,5300
1471019411,66.8100,66.8100,66.8000,66.8100,6500
1471019461,66.8150,66.8300,66.8100,66.8100,3100
1471019526,66.8200,66.8250,66.8150,66.8150,3200
1471019586,66.8400,66.8400,66.8239,66.8300,3300
1471019695,66.8290,66.8350,66.8100,66.8300,6600
1471019707,66.8350,66.8500,66.8250,66.8300,6800
1471019818,66.8200,66.8300,66.8100,66.8300,5800
1471019878,66.8400,66.8400,66.8250,66.8300,3800
1471019881,66.8453,66.8500,66.8400,66.8450,2200
1471019949,66.8400,66.8500,66.8400,66.8400,3500
